# ells	P1-P1	P1-P2	P1-P3	P1-P4	P1-P5	P1-P6	P1-P7	P1-P8	P1-P9	P1-P10	P2-P2	P2-P3	P2-P4	P2-P5	P2-P6	P2-P7	P2-P8	P2-P9	P2-P10	P3-P3	P3-P4	P3-P5	P3-P6	P3-P7	P3-P8	P3-P9	P3-P10	P4-P4	P4-P5	P4-P6	P4-P7	P4-P8	P4-P9	P4-P10	P5-P5	P5-P6	P5-P7	P5-P8	P5-P9	P5-P10	P6-P6	P6-P7	P6-P8	P6-P9	P6-P10	P7-P7	P7-P8	P7-P9	P7-P10	P8-P8	P8-P9	P8-P10	P9-P9	P9-P10	P10-P10
2.611916279594e+02	1.580256573789e-06	6.532004267473e-07	1.287978641361e-07	1.737053230134e-08	1.680513442281e-09	1.081384714508e-10	3.897051472924e-12	5.895108557523e-14	2.087447458659e-16	3.123903933402e-20	1.564126102796e-06	9.309938378037e-07	2.946676164521e-07	5.931537560111e-08	7.547518357625e-09	5.399936161197e-10	1.696271178124e-11	1.355914373515e-13	5.355263957766e-17	1.412895022223e-06	9.690932976225e-07	3.744841893027e-07	8.499278372725e-08	1.061934655695e-08	5.995008208668e-10	9.341849853482e-12	8.535893775348e-15	1.325793081812e-06	9.493891352030e-07	3.798520466133e-07	8.181658485412e-08	8.046080819038e-09	2.319079716546e-10	4.634849576204e-13	1.224632745565e-06	8.670529903820e-07	3.287968943941e-07	5.756774299479e-08	3.089606851381e-09	1.341034143258e-11	1.096624962792e-06	7.550215163417e-07	2.464135494039e-07	2.588728785252e-08	2.554014073576e-10	9.805477912515e-07	6.349040639190e-07	1.421234100102e-07	3.531584442386e-09	8.879199105261e-07	4.825231974087e-07	3.577727875708e-08	7.847085197231e-07	2.320326988284e-07	4.624859721474e-07
3.563754284892e+02	1.057450109019e-06	4.202260562274e-07	8.194668702324e-08	1.105282681733e-08	1.064269395264e-09	6.746123036868e-11	2.396126447228e-12	3.658791843444e-14	1.362612209929e-16	2.149307914113e-20	9.961219288448e-07	5.922273998822e-07	1.870839640745e-07	3.723862989210e-08	4.664131624676e-09	3.322467700525e-10	1.069643897214e-11	9.014342096208e-14	3.683329831859e-17	8.978188297323e-07	6.108633844009e-07	2.327604817396e-07	5.227472870436e-08	6.581378720862e-09	3.846265691820e-10	6.297320867352e-12	5.852849462802e-15	8.258617310108e-07	5.849271445746e-07	2.339263811203e-07	5.137507475863e-08	5.256140984451e-09	1.579410498345e-10	3.160353950954e-13	7.532460142190e-07	5.397234812403e-07	2.105575199484e-07	3.831410842712e-08	2.118619854657e-09	9.070086124279e-12	6.979497562267e-07	4.957571463665e-07	1.669141681416e-07	1.779593501901e-08	1.708086727017e-10	6.606315481402e-07	4.354704373571e-07	9.725685567374e-08	2.324890541653e-09	6.094558134882e-07	3.248606453876e-07	2.302188344435e-08	5.109935136295e-07	1.444912812467e-07	2.797234130396e-07
4.862462362330e+02	7.298550577521e-07	2.768864439734e-07	5.286375392598e-08	7.036270020630e-09	6.688955521285e-10	4.207648152890e-11	1.497938458602e-12	2.299693161485e-14	8.528377008273e-17	1.304596852399e-20	6.446095537527e-07	3.782861813863e-07	1.180806260247e-07	2.327296821876e-08	2.910635169648e-09	2.083346724001e-10	6.724793102956e-12	5.612679867932e-14	2.224429661803e-17	5.677055505056e-07	3.825388981314e-07	1.451759494610e-07	3.269509417455e-08	4.134736840847e-09	2.414179004079e-10	3.897465543708e-12	3.521800425712e-15	5.151251607674e-07	3.653630775690e-07	1.467260744030e-07	3.229728708396e-08	3.288095627775e-09	9.710466029067e-11	1.897607528403e-13	4.721483211406e-07	3.392478172703e-07	1.321863768420e-07	2.383728378320e-08	1.293208418655e-09	5.444542998155e-12	4.384832168564e-07	3.097681164655e-07	1.029897634459e-07	1.078069145031e-08	1.027670653911e-10	4.089061644524e-07	2.657184016199e-07	5.853067593870e-08	1.407964127634e-09	3.675999482238e-07	1.952697019029e-07	1.415026691649e-08	3.116690636679e-07	9.169474298831e-08	1.871091073231e-07
6.634447365049e+02	5.173871860487e-07	1.888558619542e-07	3.509520092139e-08	4.579570857558e-09	4.284962538446e-10	2.660126901059e-11	9.394194109885e-13	1.430671300410e-14	5.215047655053e-17	7.948736857169e-21	4.298450373974e-07	2.474126718493e-07	7.602306789901e-08	1.478149528862e-08	1.830666521270e-09	1.302232153625e-10	4.157740432664e-12	3.418081566351e-14	1.358202183433e-17	3.663021434063e-07	2.438049219109e-07	9.159229555342e-08	2.049500790010e-08	2.574284354738e-09	1.483898725576e-10	2.369142731457e-12	2.155128160627e-15	3.254005193014e-07	2.293817841917e-07	9.166167190892e-08	2.000113456894e-08	2.010660986855e-09	5.901369168825e-11	1.163849826575e-13	2.952367809713e-07	2.108084606354e-07	8.129992872372e-08	1.451719405409e-08	7.867979484764e-10	3.346950972924e-12	2.702281811331e-07	1.891709406098e-07	6.259504359801e-08	6.575061623771e-09	6.332438872434e-11	2.485981218956e-07	1.616792567351e-07	3.583356191836e-08	8.697143299921e-10	2.246749017446e-07	1.201398632167e-07	8.760331403197e-09	1.927282922288e-07	5.675360318519e-08	1.138543232794e-07
9.052181499767e+02	3.702883716020e-07	1.333019595433e-07	2.417236019839e-08	3.086233232944e-09	2.832987154785e-10	1.728859698001e-11	6.008212930619e-13	9.017196290379e-15	3.234936303746e-17	4.838932810164e-21	2.973702547570e-07	1.676792523383e-07	5.057005646215e-08	9.667388455700e-09	1.178694492766e-09	8.265612535151e-11	2.605399537643e-12	2.108175114191e-14	8.263880425908e-18	2.443082795630e-07	1.601653960109e-07	5.931669245694e-08	1.309380055507e-08	1.624512553009e-09	9.251128291146e-11	1.454254741274e-12	1.311359445090e-15	2.111760121131e-07	1.471045261181e-07	5.812913696022e-08	1.255229305345e-08	1.246867262652e-09	3.608547771444e-11	7.083451410317e-14	1.875523593070e-07	1.327317678260e-07	5.071211663985e-08	8.949884130942e-09	4.797369851763e-10	2.036936495555e-12	1.688640458018e-07	1.171296907907e-07	3.835373251056e-08	4.002341970189e-09	3.850542238287e-11	1.526227322767e-07	9.857224477110e-08	2.180525232656e-08	5.274508671636e-10	1.367236467847e-07	7.308021610735e-08	5.279708660897e-09	1.165263921013e-07	3.379341003487e-08	6.725948703145e-08
1.235098952422e+03	2.607575211179e-07	9.578224191207e-08	1.716483841292e-08	2.155967327914e-09	1.944707484005e-10	1.165819732219e-11	3.978242368831e-13	5.856995877468e-15	2.057069100365e-17	2.997152470125e-21	2.117324983115e-07	1.176780060756e-07	3.491736650733e-08	6.563003731065e-09	7.865573759599e-10	5.420842096155e-11	1.678357967497e-12	1.332140228723e-14	5.096654750875e-18	1.691075099484e-07	1.092395450755e-07	3.984252312485e-08	8.658002704454e-09	1.056987011823e-09	5.919038170094e-11	9.140040211520e-13	8.056178674021e-16	1.421734589626e-07	9.771337826175e-08	3.807809869229e-08	8.103556177163e-09	7.926978358911e-10	2.256407573687e-11	4.335639178760e-14	1.231375469021e-07	8.608775238823e-08	3.246923838990e-08	5.652549221803e-09	2.983800165534e-10	1.242390505914e-12	1.083708349698e-07	7.433356261295e-08	2.404876384026e-08	2.474402049480e-09	2.340497520798e-11	9.593842951734e-08	6.129417896315e-08	1.338711119906e-08	3.194768684746e-10	8.418440705232e-08	4.452171502779e-08	3.184993420829e-09	7.044934996744e-08	2.024018571306e-08	3.962966033170e-08
1.685195355743e+03	1.762862211873e-07	6.803237138981e-08	1.228996271487e-08	1.538432443323e-09	1.375191954426e-10	8.141454428793e-12	2.735746217082e-13	3.953593900731e-15	1.356970966875e-17	1.914795820824e-21	1.515296739517e-07	8.410297917587e-08	2.477545006126e-08	4.606176584668e-09	5.445977133462e-10	3.694386406142e-11	1.123182018755e-12	8.722176891145e-15	3.239142957634e-18	1.201529797506e-07	7.692045387838e-08	2.773623049487e-08	5.946216170083e-09	7.147117887836e-10	3.931840601326e-11	5.945274690923e-13	5.095376935910e-16	9.915735505689e-08	6.738476663098e-08	2.592101556906e-08	5.435405148583e-09	5.227603681731e-10	1.458485696237e-11	2.729229387849e-14	8.400875014323e-08	5.802261638191e-08	2.158499648497e-08	3.698718115957e-09	1.916033585881e-10	7.782653258538e-13	7.222876967462e-08	4.891984140785e-08	1.559767862011e-08	1.577263724267e-09	1.458346783878e-11	6.241616877492e-08	3.934857553908e-08	8.459437402219e-09	1.978053018020e-10	5.339377817765e-08	2.783561138073e-08	1.955753780468e-09	4.344965033355e-08	1.228155023600e-08	2.359736527102e-08
2.299316489134e+03	1.127754392425e-07	4.630926317522e-08	8.590799732135e-09	1.089300734613e-09	9.781329662108e-11	5.782527366142e-12	1.930719105064e-13	2.758359768999e-15	9.296895355060e-18	1.272434036250e-21	1.055178029405e-07	5.939456198903e-08	1.760660801816e-08	3.274889723101e-09	3.855691087413e-10	2.593777274471e-11	7.786303488539e-13	5.936177497182e-15	2.140732458480e-18	8.534414252880e-08	5.471053815727e-08	1.967826622556e-08	4.193243682044e-09	4.992067973192e-10	2.709580748337e-11	4.021677864726e-13	3.349978792270e-16	7.039431441364e-08	4.762037225689e-08	1.818542681675e-08	3.774443576332e-09	3.580498573206e-10	9.806262905477e-12	1.784904974957e-14	5.901908954076e-08	4.043584978845e-08	1.488437233652e-08	2.515802180686e-09	1.279889062218e-10	5.061592158821e-13	4.991092230853e-08	3.344629465978e-08	1.052187091594e-08	1.045639430589e-09	9.425877002200e-12	4.222835371861e-08	2.627688517568e-08	5.555943759692e-09	1.268947588107e-10	3.520924981974e-08	1.806260201190e-08	1.242288970251e-09	2.774502785716e-08	7.686651164294e-09	1.438831067402e-08
3.137236462934e+03	6.826854993052e-08	2.967398892703e-08	5.701513495418e-09	7.412218483661e-10	6.773634737564e-11	4.051145153369e-12	1.361335305968e-13	1.946955190930e-15	6.523383183057e-18	8.759730103150e-22	6.962786900990e-08	4.017203909918e-08	1.212912956367e-08	2.285442311915e-09	2.712564228911e-10	1.830998429408e-11	5.488052448566e-13	4.151137595821e-15	1.467537172938e-18	5.865593302721e-08	3.806659602199e-08	1.380930823212e-08	2.956956609274e-09	3.523640465219e-10	1.905902639632e-11	2.802393907295e-13	2.286915228763e-16	4.934949859485e-08	3.354779312269e-08	1.283765734198e-08	2.661392064142e-09	2.511798061739e-10	6.806810291937e-12	1.213148577215e-14	4.165917679374e-08	2.853367011353e-08	1.047197577959e-08	1.758605665587e-09	8.844202011206e-11	3.423725463312e-13	3.514209149177e-08	2.344342656169e-08	7.319028689996e-09	7.185044727914e-10	6.340367301786e-12	2.942792741628e-08	1.815395297114e-08	3.789434456196e-09	8.476115702902e-11	2.409324166673e-08	1.219284368194e-08	8.218029538849e-10	1.844933369508e-08	5.007426390541e-09	9.101161733877e-09
4.280512348289e+03	3.945725053500e-08	1.791887781365e-08	3.554270680841e-09	4.749812432224e-10	4.445940522939e-11	2.714478753141e-12	9.283458456692e-14	1.346930837520e-15	4.557931862502e-18	6.125595426947e-22	4.316392188866e-08	2.555952891673e-08	7.900585353853e-09	1.519941846365e-09	1.836588744288e-10	1.258221876999e-11	3.814304888923e-13	2.904795666204e-15	1.024913239124e-18	3.808048573812e-08	2.518078551942e-08	9.289715621394e-09	2.018558128213e-09	2.434723280001e-10	1.328664087770e-11	1.962251526676e-13	1.594623973594e-16	3.311980847596e-08	2.281111559982e-08	8.829101095499e-09	1.847466603552e-09	1.754905117252e-10	4.766275173752e-12	8.442633328151e-15	2.860301744544e-08	1.975563865982e-08	7.298145741060e-09	1.230568745946e-09	6.189320909573e-11	2.376953295412e-13	2.446718980050e-08	1.638769727902e-08	5.124978287720e-09	5.021211925232e-10	4.388301439155e-12	2.060446932915e-08	1.270396469590e-08	2.641016462476e-09	5.841493817939e-11	1.681368362059e-08	8.455011670837e-09	5.626669303522e-10	1.267614078048e-08	3.388609873429e-09	5.998918505142e-09
