#ell		zi	zj	cl_gg
300.638		0	1	1.4535965478e-08
300.638		0	2	3.9832807281e-08
300.638		1	0	1.4535965478e-08
300.638		1	1	8.0483954283e-07
300.638		1	2	6.2837358863e-08
300.638		2	0	3.9832807281e-08
300.638		2	1	6.2837358863e-08
300.638		2	2	4.8034529196e-07
365.079		0	0	7.8271058218e-07
365.079		0	1	1.0705039243e-08
365.079		0	2	3.0564137822e-08
365.079		1	0	1.0705039243e-08
365.079		1	1	5.9514640361e-07
365.079		1	2	4.6371848986e-08
365.079		2	0	3.0564137822e-08
365.079		2	1	4.6371848986e-08
365.079		2	2	3.7516904120e-07
443.332		0	0	6.0688299714e-07
443.332		0	1	7.9505486417e-09
443.332		0	2	2.3701237149e-08
443.332		1	0	7.9505486417e-09
443.332		1	1	4.4558963587e-07
443.332		1	2	3.4673187712e-08
443.332		2	0	2.3701237149e-08
443.332		2	1	3.4673187712e-08
443.332		2	2	2.7705940568e-07
538.359		0	0	4.7604754538e-07
538.359		0	1	5.8754904802e-09
538.359		0	2	1.8574538036e-08
538.359		1	0	5.8754904802e-09
538.359		1	1	3.2977987524e-07
538.359		1	2	2.5493031445e-08
538.359		2	0	1.8574538036e-08
538.359		2	1	2.5493031445e-08
538.359		2	2	2.0591205725e-07
653.755		0	0	3.7764048141e-07
653.755		0	1	4.3753558318e-09
653.755		0	2	1.4705143069e-08
653.755		1	0	4.3753558318e-09
653.755		1	1	2.4540676822e-07
653.755		1	2	1.8962146540e-08
653.755		2	0	1.4705143069e-08
653.755		2	1	1.8962146540e-08
653.755		2	2	1.5086530333e-07
793.885		0	0	3.0207056099e-07
793.885		0	1	3.3013508708e-09
793.885		0	2	1.1730143068e-08
793.885		1	0	3.3013508708e-09
793.885		1	1	1.8374336271e-07
793.885		1	2	1.4068987578e-08
793.885		2	0	1.1730143068e-08
793.885		2	1	1.4068987578e-08
793.885		2	2	1.1000716007e-07
964.052		0	0	2.4251694651e-07
964.052		0	1	2.5370486554e-09
964.052		0	2	9.3863496012e-09
964.052		1	0	2.5370486554e-09
964.052		1	1	1.3885653093e-07
964.052		1	2	1.0518469159e-08
964.052		2	0	9.3863496012e-09
964.052		2	1	1.0518469159e-08
964.052		2	2	8.0300068372e-08
1170.693		0	0	1.9419693449e-07
1170.693		0	1	1.9923773753e-09
1170.693		0	2	7.4913089593e-09
1170.693		1	0	1.9923773753e-09
1170.693		1	1	1.0624800709e-07
1170.693		1	2	7.9524344482e-09
1170.693		2	0	7.4913089593e-09
1170.693		2	1	7.9524344482e-09
1170.693		2	2	5.8856949712e-08
1421.628		0	0	1.5407768048e-07
1421.628		0	1	1.5976263095e-09
1421.628		0	2	5.9271222209e-09
1421.628		1	0	1.5976263095e-09
1421.628		1	1	8.2397522194e-08
1421.628		1	2	6.0898992649e-09
1421.628		2	0	5.9271222209e-09
1421.628		2	1	6.0898992649e-09
1421.628		2	2	4.3372828400e-08
1726.350		0	0	1.2033092218e-07
1726.350		0	1	1.3015465321e-09
1726.350		0	2	4.6226651370e-09
1726.350		1	0	1.3015465321e-09
1726.350		1	1	6.4725001147e-08
1726.350		1	2	4.7260668750e-09
1726.350		2	0	4.6226651370e-09
1726.350		2	1	4.7260668750e-09
1726.350		2	2	3.2294636602e-08
2096.388		0	0	9.2103678066e-08
2096.388		0	1	1.0659211414e-09
2096.388		0	2	3.5387875280e-09
2096.388		1	0	1.0659211414e-09
2096.388		1	1	5.1336560795e-08
2096.388		1	2	3.7108376789e-09
2096.388		2	0	3.5387875280e-09
2096.388		2	1	3.7108376789e-09
2096.388		2	2	2.4354731122e-08
2545.742		0	0	6.8930547938e-08
2545.742		0	1	8.6634522851e-10
2545.742		0	2	2.6524474138e-09
2545.742		1	0	8.6634522851e-10
2545.742		1	1	4.0884764982e-08
2545.742		1	2	2.9369104495e-09
2545.742		2	0	2.6524474138e-09
2545.742		2	1	2.9369104495e-09
2545.742		2	2	1.8652075871e-08
