#ell		zi	zj	cl_ll
300.638		0	1	5.1563420334e-10
300.638		0	2	5.8581918195e-10
300.638		1	0	5.1563420334e-10
300.638		1	1	1.3407908380e-09
300.638		1	2	1.8309433667e-09
300.638		2	0	5.8581918195e-10
300.638		2	1	1.8309433667e-09
300.638		2	2	3.3304793891e-09
365.079		0	0	2.5142775506e-10
365.079		0	1	4.0956046150e-10
365.079		0	2	4.6504104438e-10
365.079		1	0	4.0956046150e-10
365.079		1	1	1.0455241214e-09
365.079		1	2	1.4201691020e-09
365.079		2	0	4.6504104438e-10
365.079		2	1	1.4201691020e-09
365.079		2	2	2.5477971713e-09
443.332		0	0	1.9967571947e-10
443.332		0	1	3.2571587138e-10
443.332		0	2	3.6990041396e-10
443.332		1	0	3.2571587138e-10
443.332		1	1	8.2006847186e-10
443.332		1	2	1.1070406707e-09
443.332		2	0	3.6990041396e-10
443.332		2	1	1.1070406707e-09
443.332		2	2	1.9582991545e-09
538.359		0	0	1.5755434436e-10
538.359		0	1	2.5849333229e-10
538.359		0	2	2.9388028761e-10
538.359		1	0	2.5849333229e-10
538.359		1	1	6.4615087843e-10
538.359		1	2	8.6819183183e-10
538.359		2	0	2.9388028761e-10
538.359		2	1	8.6819183183e-10
538.359		2	2	1.5116495578e-09
653.755		0	0	1.2305455102e-10
653.755		0	1	2.0392328612e-10
653.755		0	2	2.3230161004e-10
653.755		1	0	2.0392328612e-10
653.755		1	1	5.1034850025e-10
653.755		1	2	6.8360064476e-10
653.755		2	0	2.3230161004e-10
653.755		2	1	6.8360064476e-10
653.755		2	2	1.1731155795e-09
793.885		0	0	9.4817791186e-11
793.885		0	1	1.5929813183e-10
793.885		0	2	1.8196940123e-10
793.885		1	0	1.5929813183e-10
793.885		1	1	4.0280676368e-10
793.885		1	2	5.3913836911e-10
793.885		2	0	1.8196940123e-10
793.885		2	1	5.3913836911e-10
793.885		2	2	9.1450002195e-10
964.052		0	0	7.1898987415e-11
964.052		0	1	1.2279230556e-10
964.052		0	2	1.4073661851e-10
964.052		1	0	1.2279230556e-10
964.052		1	1	3.1655841826e-10
964.052		1	2	4.2448881403e-10
964.052		2	0	1.4073661851e-10
964.052		2	1	4.2448881403e-10
964.052		2	2	7.1481792229e-10
1170.693		0	0	5.3578587832e-11
1170.693		0	1	9.3147646080e-11
1170.693		0	2	1.0714680508e-10
1170.693		1	0	9.3147646080e-11
1170.693		1	1	2.4677631593e-10
1170.693		1	2	3.3241444911e-10
1170.693		2	0	1.0714680508e-10
1170.693		2	1	3.3241444911e-10
1170.693		2	2	5.5876511423e-10
1421.628		0	0	3.9232722395e-11
1421.628		0	1	6.9422616242e-11
1421.628		0	2	8.0141764314e-11
1421.628		1	0	6.9422616242e-11
1421.628		1	1	1.9015941214e-10
1421.628		1	2	2.5793692230e-10
1421.628		2	0	8.0141764314e-11
1421.628		2	1	2.5793692230e-10
1421.628		2	2	4.3541938212e-10
1726.350		0	0	2.8263284415e-11
1726.350		0	1	5.0819192073e-11
1726.350		0	2	5.8853551142e-11
