#ell		zi	zj	cl_gl
300.638		0	0	7.7249186325e-09
300.638		0	1	3.1908559666e-08
300.638		0	2	4.5034927555e-08
300.638		1	0	-1.2807576069e-10
300.638		1	1	2.9371704571e-09
300.638		1	2	2.7031587031e-08
300.638		2	0	5.0022153329e-10
300.638		2	1	1.5409950125e-09
300.638		2	2	9.6127108973e-09
365.079		0	0	6.0833092254e-09
365.079		0	1	2.4598578979e-08
365.079		0	2	3.4575913322e-08
365.079		1	0	-1.0041838074e-10
365.079		1	1	2.2389701181e-09
365.079		1	2	2.0050259285e-08
365.079		2	0	3.9712155211e-10
365.079		2	1	1.1972377578e-09
365.079		2	2	7.4507173455e-09
443.332		0	0	4.8447251135e-09
443.332		0	1	1.9167581326e-08
443.332		0	2	2.6828328041e-08
443.332		1	0	-7.8774637161e-11
443.332		1	1	1.6458554398e-09
443.332		1	2	1.4987965587e-08
443.332		2	0	3.1596327469e-10
443.332		2	1	9.3414877140e-10
443.332		2	2	5.5119937197e-09
538.359		0	0	3.8940433103e-09
538.359		0	1	1.5097313662e-08
538.359		0	2	2.1038743297e-08
538.359		1	0	-6.1508659302e-11
538.359		1	1	1.2304837887e-09
538.359		1	2	1.1102995114e-08
538.359		2	0	2.5114762144e-10
538.359		2	1	7.3424914934e-10
538.359		2	2	4.1577724785e-09
653.755		0	0	3.1447133815e-09
653.755		0	1	1.2005164981e-08
653.755		0	2	1.6665735756e-08
653.755		1	0	-4.7757591138e-11
653.755		1	1	9.2258466777e-10
653.755		1	2	8.2729931588e-09
653.755		2	0	1.9864691386e-10
653.755		2	1	5.7918144356e-10
653.755		2	2	3.1029114801e-09
793.885		0	0	2.5361024545e-09
793.885		0	1	9.6056915624e-09
793.885		0	2	1.3299802404e-08
793.885		1	0	-3.6790334159e-11
793.885		1	1	6.9961733896e-10
793.885		1	2	6.2046817695e-09
793.885		2	0	1.5571686026e-10
793.885		2	1	4.5791921177e-10
793.885		2	2	2.3193666190e-09
964.052		0	0	2.0281584252e-09
964.052		0	1	7.6945610526e-09
964.052		0	2	1.0644418516e-08
964.052		1	0	-2.8079292440e-11
964.052		1	1	5.3831822816e-10
964.052		1	2	4.7001839044e-09
964.052		2	0	1.2051966630e-10
964.052		2	1	3.6142418878e-10
964.052		2	2	1.7402467752e-09
1170.693		0	0	1.5976279934e-09
1170.693		0	1	6.1332511948e-09
1170.693		0	2	8.4945429279e-09
1170.693		1	0	-2.1216191341e-11
1170.693		1	1	4.2104589233e-10
1170.693		1	2	3.6067049914e-09
1170.693		2	0	9.1817242712e-11
1170.693		2	1	2.8366056708e-10
1170.693		2	2	1.3127822082e-09
1421.628		0	0	1.2330257980e-09
1421.628		0	1	4.8350473044e-09
1421.628		0	2	6.7181617062e-09
1421.628		1	0	-1.5869167846e-11
1421.628		1	1	3.3430089664e-10
1421.628		1	2	2.8059059071e-09
1421.628		2	0	6.8716494328e-11
1421.628		2	1	2.2052892866e-10
1421.628		2	2	9.9477293908e-10
1726.350		0	0	9.2966254913e-10
1726.350		0	1	3.7499100688e-09
