# ells	E1-E1	E1-E2	E1-E3	E1-E4	E1-E5	E1-E6	E1-E7	E1-E8	E1-E9	E1-E10	E2-E2	E2-E3	E2-E4	E2-E5	E2-E6	E2-E7	E2-E8	E2-E9	E2-E10	E3-E3	E3-E4	E3-E5	E3-E6	E3-E7	E3-E8	E3-E9	E3-E10	E4-E4	E4-E5	E4-E6	E4-E7	E4-E8	E4-E9	E4-E10	E5-E5	E5-E6	E5-E7	E5-E8	E5-E9	E5-E10	E6-E6	E6-E7	E6-E8	E6-E9	E6-E10	E7-E7	E7-E8	E7-E9	E7-E10	E8-E8	E8-E9	E8-E10	E9-E9	E9-E10	E10-E10
2.611916279594e+02	1.862717148111e-10	2.384717145725e-10	2.077119032460e-10	1.924794863487e-10	1.835879338363e-10	1.769113090553e-10	1.712398535708e-10	1.660277743192e-10	1.607516412424e-10	1.538197373048e-10	6.435905505767e-10	7.234886510316e-10	7.336944470930e-10	7.412745140655e-10	7.510228276942e-10	7.606363348443e-10	7.696936097517e-10	7.788819065314e-10	7.909545672785e-10	9.839345437769e-10	1.091325539578e-09	1.134185500710e-09	1.165676991865e-09	1.197036996620e-09	1.227802301489e-09	1.259291371676e-09	1.300691416969e-09	1.330970102556e-09	1.459905257220e-09	1.530405285896e-09	1.587711507662e-09	1.645398210419e-09	1.705997039776e-09	1.785977324538e-09	1.703788277788e-09	1.858142901796e-09	1.959911845340e-09	2.051177934768e-09	2.149264013488e-09	2.280439763261e-09	2.124772286661e-09	2.314035189494e-09	2.457535802090e-09	2.602566765947e-09	2.800568495298e-09	2.621897066728e-09	2.862423369309e-09	3.073139471479e-09	3.355719382268e-09	3.242382834957e-09	3.574235290417e-09	3.971049720118e-09	4.105875188192e-09	4.715751305855e-09	5.824211836628e-09
3.563754284892e+02	1.294979297695e-10	1.693383450605e-10	1.505922942135e-10	1.414908543541e-10	1.362612369889e-10	1.323536575106e-10	1.290366143905e-10	1.259883744794e-10	1.229026771890e-10	1.188486178131e-10	4.504175838122e-10	5.067692120940e-10	5.163683410753e-10	5.234594338278e-10	5.314895815478e-10	5.391631282974e-10	5.463529677293e-10	5.536432462264e-10	5.632219247567e-10	6.797853162098e-10	7.520366964892e-10	7.824331848845e-10	8.051833935892e-10	8.274164007225e-10	8.490348453896e-10	8.711308578411e-10	9.001795631476e-10	9.087646371654e-10	9.943739457398e-10	1.042818060740e-09	1.082397384644e-09	1.121768286469e-09	1.162981221623e-09	1.217363503578e-09	1.152753907847e-09	1.254206340471e-09	1.322093914111e-09	1.382700230604e-09	1.447568422585e-09	1.534314189605e-09	1.425459798959e-09	1.547485020643e-09	1.639754755834e-09	1.732710121228e-09	1.859839530771e-09	1.743300655917e-09	1.895874079732e-09	2.028372019332e-09	2.206483715540e-09	2.137923292248e-09	2.348235932585e-09	2.598833662811e-09	2.690580628022e-09	3.082689184661e-09	3.800840632659e-09
4.862462362330e+02	8.809454430010e-11	1.174505669835e-10	1.055513837246e-10	9.990414020999e-11	9.670353774777e-11	9.431958553808e-11	9.229653650496e-11	9.043746213516e-11	8.855554454803e-11	8.608303837732e-11	3.165561357150e-10	3.572115129206e-10	3.659313115304e-10	3.724043830927e-10	3.790819081630e-10	3.852999017623e-10	3.911011997422e-10	3.969814014755e-10	4.047072873015e-10	4.751892513553e-10	5.254291763395e-10	5.479799899459e-10	5.650425549290e-10	5.813670065911e-10	5.971120661579e-10	6.131837250462e-10	6.343105989005e-10	6.303631481560e-10	6.886219190557e-10	7.225941925685e-10	7.504631236382e-10	7.779549048091e-10	8.066388721990e-10	8.444717089106e-10	7.930822614347e-10	8.606635749996e-10	9.066084205344e-10	9.477425487064e-10	9.916060948346e-10	1.050179866148e-09	9.722293779362e-10	1.052335651335e-09	1.113615480688e-09	1.175477619822e-09	1.259845586950e-09	1.178908533668e-09	1.278273278777e-09	1.365542342933e-09	1.482701169647e-09	1.433648734358e-09	1.569778945276e-09	1.733036595410e-09	1.787181831765e-09	2.037223807092e-09	2.486689132181e-09
6.634447365049e+02	5.804496688756e-11	7.824794708817e-11	7.005243982299e-11	6.622360358739e-11	6.405193469557e-11	6.243101304173e-11	6.105483086005e-11	5.979013121837e-11	5.850988879938e-11	5.682787709288e-11	2.201363145306e-10	2.496998218641e-10	2.570347151475e-10	2.625019355734e-10	2.678518932150e-10	2.727537624713e-10	2.773142178472e-10	2.819355224484e-10	2.880073111489e-10	3.322707819989e-10	3.680173314841e-10	3.849627061784e-10	3.979222502801e-10	4.101149062028e-10	4.217903348661e-10	4.336925984034e-10	4.493371876373e-10	4.400641385578e-10	4.807006165672e-10	5.051721011307e-10	5.253776383983e-10	5.451410291780e-10	5.656799878959e-10	5.927547232352e-10	5.513318352060e-10	5.975972664702e-10	6.297619294790e-10	6.586999233143e-10	6.893747532872e-10	7.302522485091e-10	6.719738434970e-10	7.260314640412e-10	7.681542883600e-10	8.107002795565e-10	8.684764952039e-10	8.094697264434e-10	8.756909693415e-10	9.345605139287e-10	1.013405552735e-09	9.767606558564e-10	1.066057978618e-09	1.173793056981e-09	1.205563681265e-09	1.367005523229e-09	1.651845255299e-09
9.052181499767e+02	3.683088514361e-11	4.952933670787e-11	4.337578000440e-11	4.049490944110e-11	3.883226498792e-11	3.758258175983e-11	3.652033133111e-11	3.554402848022e-11	3.455572244366e-11	3.325726332519e-11	1.492030248379e-10	1.702929153455e-10	1.757962529587e-10	1.799364012952e-10	1.839109679898e-10	1.875267607839e-10	1.908860228909e-10	1.942896431669e-10	1.987615317766e-10	2.288718313418e-10	2.544482955687e-10	2.670050180397e-10	2.766917048520e-10	2.857111603008e-10	2.943039219002e-10	3.030551753472e-10	3.145572303687e-10	3.049658135299e-10	3.337843732710e-10	3.516139408116e-10	3.664299175119e-10	3.808155305686e-10	3.957145367634e-10	4.153453525077e-10	3.827016431930e-10	4.151297637669e-10	4.381585180170e-10	4.589539759747e-10	4.808773016515e-10	5.100376045781e-10	4.659885717148e-10	5.033753383121e-10	5.330242400363e-10	5.630040160022e-10	6.035488154023e-10	5.596864718157e-10	6.049032348457e-10	6.456583557352e-10	7.001192213474e-10	6.722187423996e-10	7.323069679596e-10	8.053892007246e-10	8.237293279001e-10	9.305861710137e-10	1.113714013570e-09
1.235098952422e+03	2.250462384879e-11	2.966268759660e-11	2.483666674472e-11	2.254019058058e-11	2.118332048744e-11	2.015556203411e-11	1.928090670962e-11	1.847693794306e-11	1.766308109419e-11	1.659381724768e-11	9.737234968606e-11	1.118045135177e-10	1.154117687350e-10	1.181640463293e-10	1.208338995080e-10	1.232662395838e-10	1.255260579960e-10	1.278156807254e-10	1.308239266462e-10	1.531153541483e-10	1.711099506859e-10	1.800198142978e-10	1.869290559807e-10	1.933445386078e-10	1.994442078039e-10	2.056535465978e-10	2.138143842272e-10	2.067157292186e-10	2.270980718647e-10	2.398807233952e-10	2.505509631240e-10	2.608731622326e-10	2.715416934433e-10	2.855941283041e-10	2.614023919612e-10	2.842920020023e-10	3.007804782005e-10	3.157175781741e-10	3.314053536305e-10	3.522429333950e-10	3.196954742824e-10	3.459371219321e-10	3.670360531793e-10	3.883917084120e-10	4.171799280755e-10	3.847712326759e-10	4.162472946795e-10	4.449700820361e-10	4.832922338185e-10	4.621315914077e-10	5.035221049723e-10	5.543070966673e-10	5.649294167759e-10	6.374531550800e-10	7.577218575301e-10
1.685195355743e+03	1.328958358042e-11	1.689431851810e-11	1.316698700081e-11	1.135376388340e-11	1.026217103625e-11	9.430968756529e-12	8.723044086417e-12	8.072289308551e-12	7.413528986022e-12	6.548034491222e-12	6.075481742017e-11	7.004313772240e-11	7.201434810289e-11	7.355702584132e-11	7.513006963033e-11	7.658051700275e-11	7.793039908398e-11	7.929825711102e-11	8.109543881943e-11	9.840562221306e-11	1.105989914124e-10	1.165165072480e-10	1.211139391122e-10	1.254046140087e-10	1.294890357001e-10	1.336472744288e-10	1.391123769583e-10	1.353474986350e-10	1.494393799916e-10	1.582631151039e-10	1.656442202268e-10	1.727857083897e-10	1.801635148749e-10	1.898804384000e-10	1.733734596049e-10	1.893369573692e-10	2.008878410014e-10	2.113725036607e-10	2.223689960102e-10	2.369657688956e-10	2.140289233666e-10	2.323819158840e-10	2.472421263074e-10	2.622971010849e-10	2.825554349971e-10	2.593777062817e-10	2.813693478200e-10	3.015957059233e-10	3.285587218110e-10	3.130721988107e-10	3.418717429066e-10	3.774427011321e-10	3.838881921505e-10	4.339467451256e-10	5.147697311674e-10
2.299316489134e+03	7.602015359887e-12	9.256621962772e-12	6.552986625124e-12	5.207507105288e-12	4.388505420300e-12	3.763453015899e-12	3.230956067738e-12	2.741451304355e-12	2.245924202943e-12	1.594889270082e-12	3.620259603428e-11	4.177350742292e-11	4.258764494274e-11	4.325920548285e-11	4.404094523222e-11	4.478428792041e-11	4.547927600774e-11	4.618377461773e-11	4.710940148723e-11	6.039270439274e-11	6.821775521002e-11	7.181978715260e-11	7.461140272602e-11	7.725566763053e-11	7.978581790940e-11	8.236361914934e-11	8.575171416161e-11	8.485842314116e-11	9.420184086099e-11	9.994421179744e-11	1.047451423471e-10	1.094117724069e-10	1.142395037025e-10	1.205986199869e-10	1.105056138853e-10	1.212941056489e-10	1.290492544033e-10	1.360939544995e-10	1.434923684494e-10	1.533144836443e-10	1.382418832051e-10	1.507942838127e-10	1.609509468355e-10	1.712497301657e-10	1.851055594552e-10	1.693959670289e-10	1.845450320928e-10	1.985136488419e-10	2.171340818726e-10	2.064045081150e-10	2.263130192080e-10	2.509902272171e-10	2.551999522300e-10	2.897924157781e-10	3.448158051215e-10
3.137236462934e+03	4.221678531768e-12	4.940235873993e-12	3.139345763873e-12	2.223446079692e-12	1.662881404683e-12	1.235044940101e-12	8.705986838983e-13	5.355809215007e-13	1.964416502784e-13	-2.491273389612e-13	2.069396649702e-11	2.383002132692e-11	2.400669124683e-11	2.418212162351e-11	2.449230839222e-11	2.480979120287e-11	2.510982364254e-11	2.541422611566e-11	2.581418551855e-11	3.539280432847e-11	4.011100556909e-11	4.209759300472e-11	4.362266127916e-11	4.510742396249e-11	4.654271302540e-11	4.800738050971e-11	4.993262548262e-11	5.076977550046e-11	5.663056642418e-11	6.010199939369e-11	6.299248288154e-11	6.582983200493e-11	6.877561405059e-11	7.265733404925e-11	6.729127976517e-11	7.424215200384e-11	7.914613458643e-11	8.359751522433e-11	8.829317310488e-11	9.453384917888e-11	8.549003740004e-11	9.373834171080e-11	1.003502348654e-10	1.070599755513e-10	1.161024708298e-10	1.062223326042e-10	1.163266420283e-10	1.256096300694e-10	1.379957223942e-10	1.311148148081e-10	1.445453938523e-10	1.611917885124e-10	1.641869554699e-10	1.877215765299e-10	2.251567949144e-10
4.280512348289e+03	2.282353390741e-12	2.589942600730e-12	1.485490017352e-12	9.136020537715e-13	5.625656051427e-13	2.948949995345e-13	6.695296951604e-14	-1.425759488653e-13	-3.546822193097e-13	-6.333523164048e-13	1.141942685023e-11	1.311079961824e-11	1.304377140194e-11	1.301573492428e-11	1.310344651278e-11	1.321316246029e-11	1.331957438366e-11	1.342776582998e-11	1.356993012217e-11	1.990309330005e-11	2.258946647702e-11	2.359151229711e-11	2.434422333632e-11	2.510858552578e-11	2.585959898378e-11	2.662803443578e-11	2.763827765843e-11	2.903960497398e-11	3.250042665642e-11	3.444238853913e-11	3.604461916808e-11	3.764194550952e-11	3.931046306564e-11	4.151068918945e-11	3.910762836107e-11	4.333190912806e-11	4.622125542981e-11	4.883641839372e-11	5.161704751724e-11	5.532063612311e-11	5.044406821761e-11	5.557997141010e-11	5.962093607752e-11	6.372399332235e-11	6.927481716067e-11	6.361113907164e-11	7.003518166443e-11	7.587524026306e-11	8.368322601621e-11	7.969053805738e-11	8.838559925754e-11	9.911713063407e-11	1.013770312994e-10	1.168735630543e-10	1.419308162032e-10
