10.	9.958453112970608e-9	1.372996840158002e-8	1.4989056644871757e-8	1.574457852900886e-8	1.6287126806329304e-8	1.6718335493125207e-8	1.7087657617006215e-8	1.7427288512624112e-8	1.7771104705282636e-8	1.822282752863904e-8	2.0699477979033005e-8	2.3454835205245547e-8	2.5146047700276403e-8	2.6360572367108102e-8	2.732532082455819e-8	2.815196470486776e-8	2.891199973571997e-8	2.9681397986101e-8	3.0692278439119645e-8	2.719879706624659e-8	2.9596775069913843e-8	3.13333060846008e-8	3.2710905537687125e-8	3.389020022101565e-8	3.497474973959078e-8	3.607268933006293e-8	3.751523036414841e-8	3.259310883681686e-8	3.481774283606044e-8	3.6588193912733496e-8	3.810075135461235e-8	3.9490975211869054e-8	4.0898384665160207e-8	4.274757890772863e-8	3.7500956013856796e-8	3.9671566455428506e-8	4.1526493839286856e-8	4.322751459106629e-8	4.494869521703929e-8	4.7210314495080505e-8	4.223357131559283e-8	4.444694810678196e-8	4.647386627635013e-8	4.851955691730005e-8	5.1207311860232e-8	4.702764554046463e-8	4.941230746991353e-8	5.18081333477331e-8	5.4947329424687945e-8	5.2196852520293614e-8	5.5010687019450416e-8	5.865364899250269e-8	5.837237472056893e-8	6.268830318823315e-8	6.832836289036516e-8
15.	7.340590448775556e-9	1.0492255690579913e-8	1.1584414455830414e-8	1.2240969526682377e-8	1.2712466404038911e-8	1.3087048457034789e-8	1.3407872460348933e-8	1.370290463774747e-8	1.4001570814946628e-8	1.4393976931413905e-8	1.6685106975647596e-8	1.9278980854204402e-8	2.088010249538947e-8	2.203020803568462e-8	2.2943779630353167e-8	2.3726258481616637e-8	2.4445859359768096e-8	2.517433239765333e-8	2.6131459490721336e-8	2.2931986476308327e-8	2.530411405211678e-8	2.7024680372607907e-8	2.838910809849587e-8	2.9556981984871428e-8	3.063103323766102e-8	3.1718355253355076e-8	3.3146926047093624e-8	2.83474825596002e-8	3.062204910355011e-8	3.243272206325067e-8	3.397876114015177e-8	3.539956671904291e-8	3.68379370710398e-8	3.8727834637925203e-8	3.3427755672396635e-8	3.570525792502562e-8	3.765070074687878e-8	3.943363794777649e-8	4.1237558510600937e-8	4.360794624388893e-8	3.844610468933601e-8	4.081803981980208e-8	4.298839146738409e-8	4.517755573047622e-8	4.805374419876149e-8	4.363236972115058e-8	4.623531966972945e-8	4.884667054768404e-8	5.226637430806981e-8	4.932782411066436e-8	5.2451933449941725e-8	5.648545606773004e-8	5.625865297147392e-8	6.11265313166848e-8	6.767487589843076e-8
20.	5.6280876641025855e-9	8.209138649806312e-9	9.125694825683052e-9	9.67728486895911e-9	1.0073239226919617e-8	1.0387955909609237e-8	1.0657498825559682e-8	1.0905370169388737e-8	1.1156297214436468e-8	1.1485981205703144e-8	1.3482416556294428e-8	1.5785990173968355e-8	1.7215458458176165e-8	1.8242443058590848e-8	1.9058072231949604e-8	1.9756635345581563e-8	2.039907272642244e-8	2.1049445925640505e-8	2.190391440119914e-8	1.9123151514841393e-8	2.1317105368210204e-8	2.2911036076309215e-8	2.4174429496618017e-8	2.5254879660521902e-8	2.625005984530994e-8	2.725675225193639e-8	2.857939069051704e-8	2.4194587513499735e-8	2.6358493071139305e-8	2.808145894735324e-8	2.955182877611692e-8	3.0902872133434775e-8	3.227065133927509e-8	3.4067788897309425e-8	2.9079455780552787e-8	3.1295525749617695e-8	3.318772679799575e-8	3.492079838517821e-8	3.667409256800131e-8	3.8977990892112785e-8	3.4007801645014896e-8	3.6358973835762005e-8	3.850865712333081e-8	4.0675595972638066e-8	4.3522562166908866e-8	3.9191892741045054e-8	4.181438080419032e-8	4.444158769764902e-8	4.788018765411285e-8	4.4978474557149937e-8	4.8173992354834995e-8	5.2288483416588713e-8	5.213746888509277e-8	5.7186204010066794e-8	6.415819788890303e-8
25.	4.492259515425858e-9	6.629893866024556e-9	7.399725017779098e-9	7.86342227932928e-9	8.196443412727633e-9	8.46099038269489e-9	8.687570920327813e-9	8.895937558298263e-9	9.106872338791893e-9	9.384009007357925e-9	1.1095008331742355e-8	1.3100120174197644e-8	1.4350205317132215e-8	1.524817123740501e-8	1.5961257638524113e-8	1.6572029213688834e-8	1.71337469194179e-8	1.7702372588220424e-8	1.844945701304454e-8	1.606668064399844e-8	1.8038254992455776e-8	1.9472566189780997e-8	2.060896796935588e-8	2.1581386392070303e-8	2.2475709926551277e-8	2.338110341763947e-8	2.4570645552657054e-8	2.0670831417256277e-8	2.2661831506091817e-8	2.4247545324442673e-8	2.5600001787282113e-8	2.6842541231677487e-8	2.8100460189704713e-8	2.9753256218365452e-8	2.5206845499892785e-8	2.7286104548818402e-8	2.9060849593821573e-8	3.068532163601569e-8	3.232860065652405e-8	3.448800841782125e-8	2.9868717022422544e-8	3.211116512495127e-8	3.41599148517353e-8	3.6223787390916553e-8	3.893533053518221e-8	3.485014621395318e-8	3.7388042788739495e-8	3.9926835437559745e-8	4.3247732636763747e-8	4.049272543064358e-8	4.362737248515746e-8	4.7652227352325444e-8	4.7578880477982016e-8	5.259288538536037e-8	5.968702653900665e-8
30.	3.6989113855632156e-9	5.5042443504265474e-9	6.159351511212342e-9	6.554140077193322e-9	6.837701614922782e-9	7.062943357535649e-9	7.2558577358882374e-9	7.43326480108999e-9	7.612859784871365e-9	7.848819420857427e-9	9.321089746945666e-9	1.1062912010963996e-8	1.215254416061212e-8	1.2935148921392629e-8	1.3556565105252735e-8	1.408882139950722e-8	1.457832069417591e-8	1.507385578405095e-8	1.5724911453627074e-8	1.3676227911969551e-8	1.5427909453510905e-8	1.6703982417351787e-8	1.7714504452989032e-8	1.857903931418163e-8	1.9374181349417648e-8	2.0179166359360506e-8	2.1236788613659894e-8	1.7799902970751558e-8	1.960298544427997e-8	2.1039337012943403e-8	2.2263737829500635e-8	2.3388450554482496e-8	2.4527110162722885e-8	2.6023213320987085e-8	2.193959228622439e-8	2.3854166704469503e-8	2.5487792557649725e-8	2.698222366936074e-8	2.8493728939866127e-8	3.048007435803902e-8	2.6262585685786e-8	2.835693167599832e-8	3.026929543273661e-8	3.2194392839173874e-8	3.4723603628915825e-8	3.094622109621032e-8	3.3347428806209054e-8	3.574611769353927e-8	3.88819009285903e-8	3.632166150412292e-8	3.932376661327089e-8	4.316778908499759e-8	4.3164811902420245e-8	4.801995995650188e-8	5.504623786485152e-8
35.	3.103487506765383e-9	4.655446912794561e-9	5.2213813199841675e-9	5.562639908245114e-9	5.807567602503851e-9	6.0022960330025566e-9	6.169049848422064e-9	6.3223771505938096e-9	6.477594323461314e-9	6.6815261406293334e-9	7.963324063939346e-9	9.486517055330914e-9	1.0441352506660323e-8	1.1127330927826515e-8	1.1671881547724259e-8	1.2138304961795635e-8	1.2567241431062852e-8	1.3001470188844956e-8	1.3571975900492179e-8	1.1791448791822696e-8	1.334584502315782e-8	1.4479153664697084e-8	1.537619480791708e-8	1.6143793520600378e-8	1.6849587264667243e-8	1.7564127671768323e-8	1.8502927128072282e-8	1.5471456252762255e-8	1.709410860300221e-8	1.8386782207550972e-8	1.948817614807149e-8	2.0499771678313485e-8	2.152378624712435e-8	2.2869409794101484e-8	1.9219535931301105e-8	2.0965771800349716e-8	2.2455188640263025e-8	2.3817046422899422e-8	2.519437605332194e-8	2.7004435341495886e-8	2.3185903195068848e-8	2.5119813873340337e-8	2.688414102268213e-8	2.8659298556727527e-8	3.099147092893974e-8	2.7535437631934666e-8	2.977769298277835e-8	3.201456562396606e-8	3.4936983682771793e-8	3.258599347218085e-8	3.5419754977838925e-8	3.903821785335952e-8	3.909482652187368e-8	4.372268308123773e-8	5.0562261766744627e-8
40.	2.6582621277452625e-9	4.012618675749192e-9	4.50887523966923e-9	4.808090876052941e-9	5.022859337349793e-9	5.193548446690434e-9	5.3397443681796975e-9	5.474187865895453e-9	5.610288454100267e-9	5.789103997530658e-9	6.920695535001444e-9	8.26696069956559e-9	9.111941838989857e-9	9.718883067923643e-9	1.0200617337309803e-8	1.0613235841664434e-8	1.0992711206016004e-8	1.1376865833013865e-8	1.1881589705173742e-8	1.0313855751810487e-8	1.1699393335032352e-8	1.2710322972485795e-8	1.3510123739554635e-8	1.4194145278811508e-8	1.4823361566504045e-8	1.546038539494954e-8	1.6297313278432562e-8	1.3606624136186467e-8	1.5066683785805578e-8	1.623022070283337e-8	1.7221116848079033e-8	1.8131015361242985e-8	1.9052286284345208e-8	2.0262772085909133e-8	1.699453335985371e-8	1.8582034803152182e-8	1.9935737703013933e-8	2.117279046980916e-8	2.242376583539168e-8	2.40678999105528e-8	2.061741193813934e-8	2.2392848079311095e-8	2.4011624293208987e-8	2.5639381965090726e-8	2.7777804841007717e-8	2.4630096502457258e-8	2.670864659274189e-8	2.877931013970273e-8	3.148305399003546e-8	2.933715621959266e-8	3.198882601891098e-8	3.53657901485104e-8	3.5470153876851265e-8	3.9837831861904223e-8	4.641913414563224e-8
45.	2.3009347604956246e-9	3.4942976464387777e-9	3.934114490302027e-9	4.199327192440747e-9	4.389680310134644e-9	4.5409664894304044e-9	4.670542661322243e-9	4.789718047087886e-9	4.910347567481725e-9	5.0688364848353265e-9	6.0796990336393275e-9	7.282483085414144e-9	8.037884222043128e-9	8.580372320582844e-9	9.010951310700635e-9	9.379735592494997e-9	9.718899871995809e-9	1.0062245263132831e-8	1.0513350165471056e-8	9.116250738261353e-9	1.0359994075404656e-8	1.1267761085008263e-8	1.1985746941131195e-8	1.2599822258238165e-8	1.3164608226352945e-8	1.3736405982124642e-8	1.448751366231809e-8	1.2078873363327235e-8	1.3397695731178992e-8	1.444860538215921e-8	1.5343300237790087e-8	1.6164803165682807e-8	1.6996573532317806e-8	1.8089459174910197e-8	1.5148448156341462e-8	1.6592599677704996e-8	1.7823867739410137e-8	1.89485038159533e-8	2.0085664290270985e-8	2.158013400021651e-8	1.845580554187596e-8	2.0083020478959874e-8	2.1565760457437813e-8	2.305592625607843e-8	2.5013554837070425e-8	2.2147664331334152e-8	2.4067283255151355e-8	2.5977393703261156e-8	2.847013450001015e-8	2.6514957822340047e-8	2.8983945910609032e-8	3.2119772098255285e-8	3.2260887164130144e-8	3.635728710301477e-8	4.264098697940222e-8
50.	2.0198864765702236e-9	3.0797690394808915e-9	3.472970607709074e-9	3.710062114116017e-9	3.880226476998758e-9	4.0154689536669335e-9	4.1313047423258735e-9	4.2378364959163405e-9	4.345670525772001e-9	4.487342619143094e-9	5.398501548531781e-9	6.483960326961982e-9	7.1656730620915685e-9	7.655246275442166e-9	8.043776912549846e-9	8.376562914243738e-9	8.682620715638874e-9	8.992450081851853e-9	9.39952215018949e-9	8.14224821210706e-9	9.267767358459785e-9	1.0089236334892779e-8	1.0738931406876371e-8	1.1294674700045409e-8	1.1805602930799541e-8	1.2322960714376435e-8	1.3002698386537193e-8	1.0826682070559778e-8	1.2024454369910068e-8	1.2978927276042092e-8	1.3791238721324466e-8	1.4537127089690452e-8	1.5292280083167166e-8	1.628450723292984e-8	1.3620174905691252e-8	1.4938117794766765e-8	1.6061677791445988e-8	1.7087490945181123e-8	1.8124654152900383e-8	1.94877761125772e-8	1.664625783788587e-8	1.8139397770536543e-8	1.949931103247676e-8	2.086531861166768e-8	2.2659844158530034e-8	2.004390566016647e-8	2.18157178949152e-8	2.3576653147482464e-8	2.587372115096204e-8	2.408986288557952e-8	2.638323978693565e-8	2.9288824066248235e-8	2.9455926092902764e-8	3.328391415121383e-8	3.925246357655923e-8
55.	1.7886449262859013e-9	2.735171340345271e-9	3.088595015962409e-9	3.301770566546512e-9	3.454776072683379e-9	3.5763786780611134e-9	3.6805311206389874e-9	3.776311060942904e-9	3.873269371661262e-9	4.000660685747198e-9	4.8266514509238645e-9	5.813579285253117e-9	6.433552456895653e-9	6.878772966742821e-9	7.2320811741822026e-9	7.534693642948285e-9	7.813006314853403e-9	8.094752185155891e-9	8.464924370752279e-9	7.325636517933094e-9	8.352209522291364e-9	9.10144269967857e-9	9.694038426124107e-9	1.0200724050954846e-8	1.0666737196691853e-8	1.113852603742619e-8	1.1758366835029165e-8	9.77611875964638e-9	1.087070685890531e-8	1.1742993144232834e-8	1.248523969485769e-8	1.3166695248748927e-8	1.385662067284597e-8	1.4763154606252725e-8	1.2332091239538914e-8	1.3540169353850474e-8	1.4569917974063238e-8	1.5509836125237294e-8	1.6460070128465033e-8	1.7708979585466023e-8	1.511067309552559e-8	1.6484581446443492e-8	1.7735437639263107e-8	1.8991345210194457e-8	2.064129520743111e-8	1.824384596163604e-8	1.9881403880009234e-8	2.150739662031785e-8	2.3627309096888482e-8	2.1994086697918653e-8	2.4124079848062506e-8	2.6816545571626638e-8	2.7000242711054104e-8	3.0571589678556845e-8	3.6220644078045413e-8
60.	1.6003353512473299e-9	2.450087644329092e-9	2.769361461939137e-9	2.961971948310005e-9	3.100203431110991e-9	3.210063938988362e-9	3.3041593602666656e-9	3.3906892695050282e-9	3.478287251372701e-9	3.593377672938372e-9	4.344998649803161e-9	5.24718183153309e-9	5.814282172887943e-9	6.221458831055198e-9	6.544670797834751e-9	6.821459110814094e-9	7.076020533789489e-9	7.333992076942521e-9	7.672590251413178e-9	6.634998804136191e-9	7.57776217436033e-9	8.265780721966025e-9	8.810064867302445e-9	9.275280353830362e-9	9.70324575632392e-9	1.0136433350735576e-8	1.0705180903290679e-8	8.887044411870071e-9	9.894016457463026e-9	1.0696309320186739e-8	1.1378867393169246e-8	1.2005486870969849e-8	1.2639597270172148e-8	1.34731649853692e-8	1.1239771060403567e-8	1.2352784503539354e-8	1.3301403758047306e-8	1.4166786659834341e-8	1.5041913567586225e-8	1.619210949756171e-8	1.3802367450187814e-8	1.5070938262813197e-8	1.6225835111128638e-8	1.738502610933223e-8	1.8907886083949746e-8	1.6700163237565828e-8	1.8217371891789397e-8	1.9722700174141892e-8	2.1684483926065534e-8	2.0182582947910133e-8	2.2163451906015424e-8	2.4662429368335533e-8	2.4855003384080407e-8	2.8187317172809264e-8	3.352331414561784e-8
65.	1.4442275734009157e-9	2.211048274608577e-9	2.500494347094315e-9	2.675188761068629e-9	2.800649610245077e-9	2.900300703193863e-9	2.9856514709671318e-9	3.0641414901215996e-9	3.143601339247397e-9	3.247995602137037e-9	3.933338988805945e-9	4.761647169782843e-9	5.282160625435857e-9	5.6561793505318296e-9	5.952981837312968e-9	6.207204002876593e-9	6.441004759280264e-9	6.677688465780694e-9	6.988657263898874e-9	6.041359203157204e-9	6.911829247920084e-9	7.547061308539233e-9	8.049344274814846e-9	8.478861867701357e-9	8.87398032752532e-9	9.273926987596164e-9	9.799381982969549e-9	8.122880153835468e-9	9.054133266194633e-9	9.796229355778209e-9	1.0427601431663865e-8	1.1007154441796412e-8	1.1593919525928504e-8	1.236490885187058e-8	1.0300149779927999e-8	1.1330919257714886e-8	1.2209426421316946e-8	1.301096669843676e-8	1.3821218779130756e-8	1.4886161817543262e-8	1.2674906840378717e-8	1.3851727766329666e-8	1.4922609884481652e-8	1.5997190365505892e-8	1.7408853173896493e-8	1.5365418102602573e-8	1.6775560665184287e-8	1.8173675381068814e-8	1.999519060804319e-8	1.8607286032855264e-8	2.045355476480838e-8	2.2778571346121158e-8	2.2974560581787314e-8	2.6087860128779524e-8	3.11241903094824e-8
70.	1.312436958076152e-9	2.00800304438793e-9	2.2714946538674943e-9	2.4304903290131834e-9	2.544645342999202e-9	2.635369460111194e-9	2.7130753671984875e-9	2.784534810369466e-9	2.8568749844091594e-9	2.9519189958495695e-9	3.5782257377474367e-9	4.339761427062209e-9	4.8194559880909655e-9	5.163935262625749e-9	5.437287659269282e-9	5.671418520817732e-9	5.886745883398325e-9	6.104728106286439e-9	6.3911246474793664e-9	5.5240671774956526e-9	6.330933215286546e-9	6.9198858347188954e-9	7.3855365813076805e-9	7.783713972359272e-9	8.149943386351265e-9	8.520708700091377e-9	9.007921654699116e-9	7.456498962894216e-9	8.322130426289484e-9	9.01192621298975e-9	9.598728913939759e-9	1.0137408320892827e-8	1.068278376562532e-8	1.139938185982145e-8	9.481633744126515e-9	1.044088636383167e-8	1.1258373566608544e-8	1.2004162438970591e-8	1.2758102250682566e-8	1.3748984073474547e-8	1.1692556661053675e-8	1.2788741066285092e-8	1.3786154961924084e-8	1.4786779905574535e-8	1.6101264415244695e-8	1.4200350765272604e-8	1.551557977952525e-8	1.6818974829359295e-8	1.851656824461565e-8	1.7227440854259165e-8	1.8952613645473156e-8	2.1122248893717306e-8	2.1317569715793432e-8	2.4231953348763586e-8	2.898618515860881e-8
75.	1.202254330776566e-9	1.8368961811193781e-9	2.0776598252799258e-9	2.2230247696494553e-9	2.327393086477973e-9	2.4103403126183688e-9	2.4813830045629947e-9	2.546716392961275e-9	2.6128550396758584e-9	2.6997511638873602e-9	3.2732883237755707e-9	3.974985208782884e-9	4.417703813012672e-9	4.735640288110413e-9	4.987931029462407e-9	5.204006818775599e-9	5.4027405046888556e-9	5.6039390196484716e-9	5.868266871423968e-9	5.072929362445041e-9	5.822971987975637e-9	6.37063076508683e-9	6.8035937728732815e-9	7.173825339541265e-9	7.514339196915014e-9	7.859073438616362e-9	8.312005271279381e-9	6.872872621026294e-9	7.68062895722657e-9	8.324300805892604e-9	8.871847814001573e-9	9.374475570067114e-9	9.883356483469516e-9	1.0551900581465293e-8	8.764297873559459e-9	9.66081263723876e-9	1.042480940116672e-8	1.1121789003695741e-8	1.182622289645034e-8	1.2752193322761902e-8	1.0831546999203958e-8	1.1856837286686215e-8	1.27897049278434e-8	1.3725514272237326e-8	1.4954756367798993e-8	1.3178208446030832e-8	1.4409483429621545e-8	1.5629334766142222e-8	1.7217642277274496e-8	1.6014252423092e-8	1.7631177200577198e-8	1.9662374520038645e-8	1.9854107991528815e-8	2.2588455038855284e-8	2.707983756842536e-8
