# ells	P1-P1	P1-P2	P1-P3	P1-P4	P1-P5	P1-P6	P1-P7	P1-P8	P1-P9	P1-P10	P2-P2	P2-P3	P2-P4	P2-P5	P2-P6	P2-P7	P2-P8	P2-P9	P2-P10	P3-P3	P3-P4	P3-P5	P3-P6	P3-P7	P3-P8	P3-P9	P3-P10	P4-P4	P4-P5	P4-P6	P4-P7	P4-P8	P4-P9	P4-P10	P5-P5	P5-P6	P5-P7	P5-P8	P5-P9	P5-P10	P6-P6	P6-P7	P6-P8	P6-P9	P6-P10	P7-P7	P7-P8	P7-P9	P7-P10	P8-P8	P8-P9	P8-P10	P9-P9	P9-P10	P10-P10
2.611916279594e+02	1.106979931401e-06	5.463524064133e-07	1.140474371648e-07	1.578350621132e-08	1.567247781814e-09	1.035413585257e-10	3.790139115556e-12	5.757204040890e-14	2.039538888602e-16	3.076244512121e-20	1.374670182820e-06	8.408474819252e-07	2.723037418720e-07	5.627046034956e-08	7.301659854565e-09	5.267838423793e-10	1.656599215990e-11	1.326115064725e-13	5.283377444231e-17	1.300676937524e-06	9.129699702368e-07	3.600646645323e-07	8.268802941439e-08	1.036919023089e-08	5.855342387911e-10	9.149169596509e-12	8.436023228758e-15	1.271545021818e-06	9.214852736354e-07	3.706297008929e-07	7.990425454362e-08	7.862355213697e-09	2.275119866565e-10	4.588404712461e-13	1.194390445735e-06	8.467582853072e-07	3.211337029657e-07	5.631352088654e-08	3.037287927686e-09	1.329836208279e-11	1.071003079159e-06	7.379263451530e-07	2.415180438337e-07	2.551340563160e-08	2.537074918601e-10	9.603114271273e-07	6.242132518890e-07	1.405070222728e-07	3.514654931108e-09	8.766643300360e-07	4.787906790286e-07	3.567765706308e-08	7.816925145841e-07	2.318792832602e-07	4.629004062483e-07
3.563754284892e+02	5.974421748201e-07	3.038865398634e-07	6.472095240678e-08	9.199380566267e-09	9.253735259633e-10	6.056343937994e-11	2.182853037714e-12	3.374026100852e-14	1.289658492069e-16	2.096907107891e-20	7.766636437591e-07	4.867238446571e-07	1.604091200872e-07	3.308734953314e-08	4.228092128083e-09	3.042631990467e-10	9.950685102979e-12	8.608403777594e-14	3.602956441400e-17	7.651072905526e-07	5.382484051416e-07	2.098005054431e-07	4.765649502826e-08	6.062159875920e-09	3.609600400427e-10	6.056509950789e-12	5.735747060141e-15	7.425913941425e-07	5.319020695236e-07	2.144037789261e-07	4.768405144828e-08	4.976711323511e-09	1.527956730401e-10	3.101313915829e-13	6.893940309233e-07	4.985226207276e-07	1.974195058658e-07	3.661192235128e-08	2.059978900235e-09	8.909442912279e-12	6.523774245506e-07	4.705738827517e-07	1.609731900381e-07	1.737953318343e-08	1.679037815273e-10	6.352219400209e-07	4.235009541766e-07	9.532124547210e-08	2.286510108761e-09	5.965451843952e-07	3.191684305349e-07	2.265060362160e-08	5.026410458662e-07	1.422652827141e-07	2.763250817062e-07
4.862462362330e+02	3.124295011129e-07	1.630801584548e-07	3.534075803432e-08	5.099818049246e-09	5.146017351556e-10	3.398362736419e-11	1.252056065375e-12	1.980826986671e-14	7.661581556513e-17	1.210692735403e-20	4.227123665578e-07	2.689823127308e-07	8.918147728245e-08	1.847840013006e-08	2.401173616781e-09	1.766652776650e-10	5.884589221345e-12	5.100854231984e-14	2.068189985063e-17	4.252809057327e-07	2.998936231021e-07	1.182362811560e-07	2.738429447009e-08	3.552032108866e-09	2.142092515395e-10	3.570699900348e-12	3.279228616150e-15	4.174566704846e-07	3.038342826828e-07	1.246623766442e-07	2.814638577427e-08	2.954837138057e-09	8.948416193990e-11	1.769495696460e-13	3.997340844052e-07	2.930586955564e-07	1.171202751472e-07	2.167565107288e-08	1.196954968646e-09	5.086024661847e-12	3.866537266365e-07	2.793227069879e-07	9.461458846061e-08	1.001213806554e-08	9.623884977339e-11	3.744997811290e-07	2.459751158773e-07	5.451701081777e-08	1.323631903955e-09	3.419761670833e-07	1.825977377602e-07	1.339091878057e-08	2.939300628802e-07	8.782319333869e-08	1.826824399810e-07
6.634447365049e+02	1.587356625242e-07	8.473165913211e-08	1.862244894123e-08	2.720055994900e-09	2.769408062305e-10	1.839928250788e-11	6.894752368639e-13	1.105038644032e-14	4.241810577744e-17	6.862986390002e-21	2.222192173824e-07	1.430011106255e-07	4.788172133849e-08	9.979054367108e-09	1.311366717013e-09	9.817522396279e-11	3.274834672172e-12	2.826964438126e-14	1.179655814300e-17	2.280684394768e-07	1.617199451261e-07	6.420808993370e-08	1.510033885378e-08	1.980061267667e-09	1.188360451893e-10	1.986532965383e-12	1.880837108455e-15	2.263196365033e-07	1.667116998516e-07	6.931538707671e-08	1.567485661424e-08	1.636692594080e-09	5.006737697737e-11	1.020272019182e-13	2.219277921707e-07	1.633988673178e-07	6.499720826160e-08	1.202194300804e-08	6.745027044172e-10	2.947962070217e-12	2.147954875905e-07	1.546955447632e-07	5.277412391324e-08	5.690720214484e-09	5.609431294367e-11	2.083598257159e-07	1.386592508961e-07	3.129922782961e-08	7.764468259202e-10	1.955123501388e-07	1.060527495591e-07	7.914650547275e-09	1.730465227414e-07	5.227540989585e-08	1.075878559442e-07
9.052181499767e+02	7.866256108576e-08	4.282729585236e-08	9.528040947291e-09	1.405241695964e-09	1.443173861789e-10	9.665504651094e-12	3.645816053000e-13	5.907834779857e-15	2.287984086379e-17	3.728093377825e-21	1.134696170435e-07	7.369596732445e-08	2.488225762067e-08	5.227163550105e-09	6.915158554575e-10	5.215980373621e-11	1.760379619752e-12	1.523013160979e-14	6.451658686361e-18	1.183740101885e-07	8.453206116850e-08	3.377983233546e-08	7.990834323502e-09	1.057414663884e-09	6.404873424368e-11	1.069331059158e-12	1.036016075571e-15	1.189630805093e-07	8.805975590248e-08	3.685394057238e-08	8.413893556445e-09	8.825274957180e-10	2.697721208237e-11	5.658583354193e-14	1.178363943458e-07	8.744627721678e-08	3.502306923562e-08	6.476431807233e-09	3.648069483229e-10	1.644582466571e-12	1.156571805973e-07	8.340426833947e-08	2.841886295191e-08	3.101339926318e-09	3.142178253100e-11	1.121710008446e-07	7.501325985434e-08	1.726129570657e-08	4.354170505367e-10	1.072782038298e-07	5.922506094864e-08	4.420681085251e-09	9.683513452290e-08	2.892719580351e-08	5.990239383734e-08
1.235098952422e+03	3.816908910277e-08	2.112833634126e-08	4.749527601741e-09	7.064514722851e-10	7.309661537096e-11	4.929085936415e-12	1.871911779363e-13	3.055157118479e-15	1.192880181793e-17	1.965303413641e-21	5.646435918876e-08	3.696882695582e-08	1.257296922770e-08	2.659062086823e-09	3.540280214196e-10	2.687919930385e-11	9.129910311218e-13	7.966250858214e-15	3.403334607664e-18	5.975160844043e-08	4.292502604807e-08	1.725218716452e-08	4.105128063100e-09	5.464965140649e-10	3.330466415059e-11	5.608885627449e-13	5.468729786660e-16	6.070505102077e-08	4.516062936654e-08	1.900004677143e-08	4.360527386976e-09	4.602178457862e-10	1.418228109937e-11	2.990048817551e-14	6.069867941994e-08	4.524528696133e-08	1.820674280142e-08	3.388504940258e-09	1.921179899065e-10	8.705737133455e-13	6.006826814858e-08	4.353005799099e-08	1.492220347151e-08	1.635396867089e-09	1.668345631493e-11	5.883085930565e-08	3.950603697206e-08	9.115183961805e-09	2.323106229265e-10	5.660873129503e-08	3.139340421040e-08	2.375478143349e-09	5.184789461152e-08	1.563880382425e-08	3.232275697552e-08
1.685195355743e+03	1.817950739893e-08	1.021010572985e-08	2.316088406987e-09	3.469963227761e-10	3.612891735118e-11	2.450731220449e-12	9.362331060229e-14	1.537540145048e-15	6.045944118984e-18	1.005550196137e-21	2.749336713497e-08	1.812539002249e-08	6.202029848300e-09	1.319197284531e-09	1.766267279469e-10	1.348531672792e-11	4.607180436514e-13	4.046842037534e-15	1.743945553521e-18	2.944865465770e-08	2.126275854691e-08	8.588998010153e-09	2.054142037464e-09	2.748848057010e-10	1.684464595921e-11	2.855019456676e-13	2.806527305285e-16	3.019901456911e-08	2.256442689389e-08	9.536036514971e-09	2.198908951646e-09	2.332823799552e-10	7.232530982825e-12	1.536961923819e-14	3.044190293328e-08	2.278149156662e-08	9.206375280766e-09	1.721712393073e-09	9.815887085431e-11	4.482831097032e-13	3.035000126908e-08	2.207891108174e-08	7.602247466034e-09	8.373398857467e-10	8.607077281812e-12	2.994435658576e-08	2.018632947680e-08	4.679655460060e-09	1.200920370290e-10	2.902778800394e-08	1.617669229421e-08	1.230594930203e-09	2.682871106943e-08	8.127934087934e-09	1.694941082824e-08
2.299316489134e+03	8.522160970963e-09	4.845914958431e-09	1.107759693506e-09	1.670011470284e-10	1.748406477945e-11	1.192066060558e-12	4.577080954320e-14	7.557136333634e-16	2.989900220983e-18	5.013638243318e-22	1.313302553204e-08	8.709503719474e-09	2.996138462748e-09	6.404771349373e-10	8.616569463641e-11	6.610409335659e-12	2.269798314885e-13	2.005127629298e-15	8.707207013295e-19	1.421535507029e-08	1.030942515871e-08	4.182479811254e-09	1.004646434446e-09	1.350468924908e-10	8.315194313849e-12	1.416969291967e-13	1.403057706845e-16	1.469609609603e-08	1.102189300669e-08	4.676069325277e-09	1.082677303750e-09	1.153758440382e-10	3.595341516710e-12	7.693576531491e-15	1.491790485751e-08	1.120215201417e-08	4.543725280975e-09	8.532217341017e-10	4.887794554762e-11	2.246994912546e-13	1.496873971238e-08	1.092544981606e-08	3.775873263586e-09	4.177537617795e-10	4.320725948451e-12	1.486103310952e-08	1.005246300384e-08	2.340129930078e-09	6.039477598051e-11	1.450133370880e-08	8.113103184347e-09	6.203268807762e-10	1.350743127261e-08	4.111277864030e-09	8.629461472150e-09
3.137236462934e+03	3.938654899016e-09	2.264279050769e-09	5.211645805610e-10	7.900056352768e-11	8.310306246439e-12	5.691161286930e-13	2.194680793750e-14	3.639964204642e-16	1.447578842786e-18	2.445138243023e-22	6.171676992176e-09	4.114367724484e-09	1.421946525088e-09	3.052806324432e-10	4.124107264164e-11	3.176801981750e-12	1.095427389028e-13	9.724334220209e-16	4.251469821541e-19	6.742019820851e-09	4.908247843434e-09	1.998730700282e-09	4.818879965754e-10	6.502179453919e-11	4.019681540594e-12	6.882267481433e-14	6.858167513628e-17	7.019058682836e-09	5.281085447511e-09	2.247839991143e-09	5.222486101582e-10	5.586492704760e-11	1.748806926499e-12	3.764686479049e-15	7.167360607153e-09	5.397583587569e-09	2.196129796252e-09	4.138567298026e-10	2.381042868051e-11	1.100750599843e-13	7.230698462504e-09	5.292510040784e-09	1.835191305697e-09	2.038447918167e-10	2.119243921188e-12	7.217802371092e-09	4.897276592677e-09	1.144121817980e-09	2.966665162086e-11	7.083964721161e-09	3.976284561892e-09	3.053128837218e-10	6.641281248144e-09	2.029503977912e-09	4.283597970463e-09
4.280512348289e+03	1.798297643915e-09	1.043580927260e-09	2.416097601073e-10	3.679765646385e-11	3.886945207566e-12	2.672091422406e-13	1.034396762548e-14	1.722669150772e-16	6.883342820042e-19	1.169691078825e-22	2.858395878038e-09	1.914134206473e-09	6.642096477884e-10	1.431342993878e-10	1.940626878840e-11	1.500369333239e-12	5.193728212295e-14	4.630668267100e-16	2.035836515156e-19	3.147453417033e-09	2.298993849858e-09	9.392307510084e-10	2.271954854757e-10	3.076186759221e-11	1.908754827450e-12	3.281332737564e-14	3.287189775625e-17	3.296736940922e-09	2.487459711331e-09	1.061905954891e-09	2.474981244491e-10	2.656598609794e-11	8.347738557974e-13	1.806172173874e-15	3.384282522549e-09	2.555352506749e-09	1.042675964729e-09	1.971009484895e-10	1.137956683325e-11	5.286289527360e-14	3.431174665730e-09	2.517803130975e-09	8.754597972977e-10	9.755866002325e-11	1.018872461772e-12	3.441205447592e-09	2.340647371890e-09	5.485026651300e-10	1.428154240267e-11	3.393630608783e-09	1.910382949221e-09	1.472276557620e-10	3.199714814098e-09	9.811644552442e-10	2.081000302399e-09
