# ells	P1-P1	P1-P2	P1-P3	P1-P4	P1-P5	P1-P6	P1-P7	P1-P8	P1-P9	P1-P10	P2-P2	P2-P3	P2-P4	P2-P5	P2-P6	P2-P7	P2-P8	P2-P9	P2-P10	P3-P3	P3-P4	P3-P5	P3-P6	P3-P7	P3-P8	P3-P9	P3-P10	P4-P4	P4-P5	P4-P6	P4-P7	P4-P8	P4-P9	P4-P10	P5-P5	P5-P6	P5-P7	P5-P8	P5-P9	P5-P10	P6-P6	P6-P7	P6-P8	P6-P9	P6-P10	P7-P7	P7-P8	P7-P9	P7-P10	P8-P8	P8-P9	P8-P10	P9-P9	P9-P10	P10-P10
2.611916279594e+02	1.596300549741e-06	6.521764520480e-07	1.283435034038e-07	1.721026612634e-08	1.668712284084e-09	1.081850926227e-10	3.911464525723e-12	5.900566463264e-14	2.080843965123e-16	3.117969592921e-20	1.559758960466e-06	9.236230620516e-07	2.921010168346e-07	5.917664433642e-08	7.569953822080e-09	5.414978533798e-10	1.694656535781e-11	1.351071656576e-13	5.348943425863e-17	1.399837784225e-06	9.648615443157e-07	3.750521207181e-07	8.529041593085e-08	1.063288761932e-08	5.981489795842e-10	9.309092054797e-12	8.531804613901e-15	1.326913508975e-06	9.526894550469e-07	3.808349146521e-07	8.177965590302e-08	8.021066475753e-09	2.311816817505e-10	4.635828201700e-13	1.228245137646e-06	8.675622919700e-07	3.280983606382e-07	5.736541449730e-08	3.081898710482e-09	1.342232887924e-11	1.094754284357e-06	7.525373884463e-07	2.455898368538e-07	2.584654934421e-08	2.558059062428e-10	9.771276258660e-07	6.333419678224e-07	1.420745681925e-07	3.539700713700e-09	8.871463240125e-07	4.830723707044e-07	3.588556392299e-08	7.867818124225e-07	2.328814297901e-07	4.641902936299e-07
3.563754284892e+02	1.081669417692e-06	4.220348446686e-07	8.178276189722e-08	1.098186726810e-08	1.059429177679e-09	6.728739227134e-11	2.378139896112e-12	3.615836063588e-14	1.355282101949e-16	2.160767032174e-20	9.951446579459e-07	5.889249189777e-07	1.860031426441e-07	3.713408537046e-08	4.641234880947e-09	3.287729261765e-10	1.058415106866e-11	8.995105191332e-14	3.705287535517e-17	8.922598508157e-07	6.088043272405e-07	2.319895676814e-07	5.185998711933e-08	6.505874119076e-09	3.815026515821e-10	6.300384580554e-12	5.889375150764e-15	8.234547752853e-07	5.812107514473e-07	2.314378396693e-07	5.081820495457e-08	5.228819521317e-09	1.583510346056e-10	3.180154694207e-13	7.456076223173e-07	5.335239702212e-07	2.087908139672e-07	3.824136759444e-08	2.127692894727e-09	9.125230413488e-12	6.914691147908e-07	4.936124533055e-07	1.671605416284e-07	1.789436096415e-08	1.717819465937e-10	6.608936262726e-07	4.373627590727e-07	9.785609059991e-08	2.336747522936e-09	6.131148885429e-07	3.267796974287e-07	2.311998485158e-08	5.133951541287e-07	1.449652787898e-07	2.805729995691e-07
4.862462362330e+02	7.577229963381e-07	2.821855519462e-07	5.334187916084e-08	7.050126351107e-09	6.673476069151e-10	4.193522945590e-11	1.487646039921e-12	2.277092157683e-14	8.501490052922e-17	1.302762506799e-20	6.514484340461e-07	3.797071961979e-07	1.179277199080e-07	2.320193997440e-08	2.896078326123e-09	2.064338694012e-10	6.670062664771e-12	5.607375205359e-14	2.218490689802e-17	5.672711513210e-07	3.814532671959e-07	1.446106754611e-07	3.245932854494e-08	4.094814529467e-09	2.400528760269e-10	3.897799132755e-12	3.508080800124e-15	5.132690691818e-07	3.631601938862e-07	1.453719286149e-07	3.201956584712e-08	3.277837899807e-09	9.712234868251e-11	1.888146714733e-13	4.679570551524e-07	3.360286049169e-07	1.314022856828e-07	2.381448660333e-08	1.292544522843e-09	5.412781887440e-12	4.354899063775e-07	3.090144498830e-07	1.030056311866e-07	1.075940984158e-08	1.021193595971e-10	4.089061389334e-07	2.655668003901e-07	5.829380725165e-08	1.399365605496e-09	3.664253779935e-07	1.941155145554e-07	1.408557582451e-08	3.100008438152e-07	9.166676290598e-08	1.884880343468e-07
6.634447365049e+02	5.422732802083e-07	1.958778059778e-07	3.605115444669e-08	4.663616363365e-09	4.331311551563e-10	2.673891125029e-11	9.412142485939e-13	1.427626176572e-14	5.193134424511e-17	7.934967158641e-21	4.423060771957e-07	2.525267635403e-07	7.702377360630e-08	1.488612138674e-08	1.836422536603e-09	1.302396296677e-10	4.141678360429e-12	3.407524641464e-14	1.354551050039e-17	3.715022740851e-07	2.458896591705e-07	9.199169557779e-08	2.052861964469e-08	2.569889279189e-09	1.477353948239e-10	2.364365393651e-12	2.146869920493e-15	3.269786406976e-07	2.299272877744e-07	9.164934053114e-08	1.993318612183e-08	2.002537826815e-09	5.893246079998e-11	1.158052126438e-13	2.953424323132e-07	2.102936798838e-07	8.094464834192e-08	1.447398098430e-08	7.857186158546e-10	3.327061247910e-12	2.690760991803e-07	1.884469183104e-07	6.248818967405e-08	6.560469988077e-09	6.291391222238e-11	2.480847569691e-07	1.614540609164e-07	3.568889762022e-08	8.643377195814e-10	2.239483144535e-07	1.194152281137e-07	8.723874002697e-09	1.917300968304e-07	5.680715880138e-08	1.146552655621e-07
9.052181499767e+02	3.886592414085e-07	1.397945411704e-07	2.524884888554e-08	3.202963312031e-09	2.918994111318e-10	1.769755369259e-11	6.116077607444e-13	9.129258920477e-15	3.257324237858e-17	4.850627041127e-21	3.108972007845e-07	1.743536770464e-07	5.222932192321e-08	9.919430652254e-09	1.202627545543e-09	8.390909986891e-11	2.632083711330e-12	2.119261827448e-14	8.284981791979e-18	2.525815012301e-07	1.646210269863e-07	6.064396679634e-08	1.332363094418e-08	1.645495965419e-09	9.329800312182e-11	1.460027549588e-12	1.314929001533e-15	2.160613779327e-07	1.498851607660e-07	5.899092548396e-08	1.268801173292e-08	1.255411214149e-09	3.619608614123e-11	7.102992009136e-14	1.904555177836e-07	1.343302712204e-07	5.115236550338e-08	8.996020632845e-09	4.809686859831e-10	2.042111524061e-12	1.704311237567e-07	1.178781978220e-07	3.848961318640e-08	4.012309715820e-09	3.858163761391e-11	1.532367767658e-07	9.882496008734e-08	2.186336861840e-08	5.279879048095e-10	1.370824416622e-07	7.324592393055e-08	5.279007679839e-09	1.165781843219e-07	3.379899497390e-08	6.760021560996e-08
1.235098952422e+03	2.728855300286e-07	1.004087309742e-07	1.803846960791e-08	2.263464325404e-09	2.035014792132e-10	1.215234024044e-11	4.130180253778e-13	6.048572234169e-15	2.109395965587e-17	3.048757302018e-21	2.224485904324e-07	1.236150157157e-07	3.658277590957e-08	6.851260789603e-09	8.180342272987e-10	5.614065673371e-11	1.728565703696e-12	1.363145672414e-14	5.179042118605e-18	1.772600511350e-07	1.141534751786e-07	4.149607434008e-08	8.985452128854e-09	1.092115187113e-09	6.082205879757e-11	9.336343659797e-13	8.178739573604e-16	1.481481394304e-07	1.015181280045e-07	3.942213923025e-08	8.351970186392e-09	8.128052375310e-10	2.301238454708e-11	4.397531274332e-14	1.275645048014e-07	8.886085798703e-08	3.337220180987e-08	5.783209840328e-09	3.038508277244e-10	1.258947705305e-12	1.114721544489e-07	7.617372061083e-08	2.454739808560e-08	2.515891529813e-09	2.369474412843e-11	9.800433189066e-08	6.241426729941e-08	1.358834717235e-08	3.231513351653e-10	8.551141926232e-08	4.510064188688e-08	3.219556245667e-09	7.123964237306e-08	2.044871866244e-08	3.999114088725e-08
1.685195355743e+03	1.842803686199e-07	7.087538021223e-08	1.284886476999e-08	1.612677611016e-09	1.443290772379e-10	8.551087457507e-12	2.874760572372e-13	4.148747512902e-15	1.417864528635e-17	1.986329128483e-21	1.583062285610e-07	8.811375041798e-08	2.599411521665e-08	4.836593468199e-09	5.722000864478e-10	3.880650809616e-11	1.176921953374e-12	9.099031130774e-15	3.356139270730e-18	1.260444455372e-07	8.075263448858e-08	2.913584638272e-08	6.247932124167e-09	7.501259101928e-10	4.114086825504e-11	6.193037055734e-13	5.273532958501e-16	1.041521078923e-07	7.080536935456e-08	2.722499196268e-08	5.697692930627e-09	5.461806061812e-10	1.517062908421e-11	2.821481521046e-14	8.825010417970e-08	6.087086026514e-08	2.258893458005e-08	3.857965114109e-09	1.989961870882e-10	8.036204463680e-13	7.562633983939e-08	5.108945835682e-08	1.623690180131e-08	1.635344341440e-09	1.503905951834e-11	6.501980127037e-08	4.086413783105e-08	8.753275549652e-09	2.036810890963e-10	5.529618049231e-08	2.872905523314e-08	2.010218053535e-09	4.470277545689e-08	1.259227745825e-08	2.410494545895e-08
2.299316489134e+03	1.182028852592e-07	4.815858513354e-08	8.919046336926e-09	1.131682281356e-09	1.017954544306e-10	6.036930530091e-12	2.024314859479e-13	2.902128311521e-15	9.795101216798e-18	1.339693082295e-21	1.095528763422e-07	6.168931224403e-08	1.831077251317e-08	3.414435359591e-09	4.035081234625e-10	2.724905588192e-11	8.198235773058e-13	6.254924302237e-15	2.253114566559e-18	8.873366359885e-08	5.699468893895e-08	2.056223709240e-08	4.397697426283e-09	5.250834012153e-10	2.854054661688e-11	4.237357921706e-13	3.524433983973e-16	7.351806990604e-08	4.989014614491e-08	1.910843537990e-08	3.973375105685e-09	3.772304752811e-10	1.033028988358e-11	1.876926259874e-14	6.198959459241e-08	4.254864537660e-08	1.567742775267e-08	2.650821908297e-09	1.347897843341e-10	5.319251112919e-13	5.256378293866e-08	3.523972595780e-08	1.108526741119e-08	1.100728054599e-09	9.898036170680e-12	4.449272625571e-08	2.767278247871e-08	5.844527093877e-09	1.331185230350e-10	3.705059818769e-08	1.897651085339e-08	1.301409046077e-09	2.908711021534e-08	8.032787649228e-09	1.495899589434e-08
3.137236462934e+03	7.164887141306e-08	3.103982522543e-08	5.925295902425e-09	7.666197651299e-10	6.988093968369e-11	4.181943077794e-12	1.410353712485e-13	2.026745823496e-15	6.825988673957e-18	9.230240113186e-22	7.243876454661e-08	4.159662536917e-08	1.252042197173e-08	2.357983225677e-09	2.805303245201e-10	1.901510445849e-11	5.724068211137e-13	4.351120681056e-15	1.547990598397e-18	6.056650860922e-08	3.926818018287e-08	1.426417244782e-08	3.064494930786e-09	3.666468989290e-10	1.991159466598e-11	2.941684559530e-13	2.414475414202e-16	5.095655124895e-08	3.472964399848e-08	1.333586468395e-08	2.774426108766e-09	2.628475825664e-10	7.154838873815e-12	1.281829433061e-14	4.325132526798e-08	2.971303545901e-08	1.093852608980e-08	1.843556549510e-09	9.309248286061e-11	3.620075674850e-13	3.668661079910e-08	2.454399869098e-08	7.687582318190e-09	7.574233686661e-10	6.708311242932e-12	3.088914604545e-08	1.910969504451e-08	4.001225274410e-09	8.973766029749e-11	2.542309975893e-08	1.289477934726e-08	8.705970836146e-10	1.953826637488e-08	5.305326991846e-09	9.619272092956e-09
4.280512348289e+03	4.113563320168e-08	1.884723406804e-08	3.722298059809e-09	4.938804040870e-10	4.590950183364e-11	2.790556512336e-12	9.531479681672e-14	1.384027756627e-15	4.697572235272e-18	6.368990295026e-22	4.525281080501e-08	2.663105822945e-08	8.175836827241e-09	1.564718861771e-09	1.886145160299e-10	1.292172262764e-11	3.922466801737e-13	2.998714155240e-15	1.067616144399e-18	3.944474402230e-08	2.595259821966e-08	9.545818141081e-09	2.072603990544e-09	2.501545386295e-10	1.367725766964e-11	2.029057702022e-13	1.664013756895e-16	3.404234081482e-08	2.342221512669e-08	9.067874423380e-09	1.899458113342e-09	1.808855092586e-10	4.937270930241e-12	8.825506807917e-15	2.937354924864e-08	2.030262237672e-08	7.511864903353e-09	1.270576810813e-09	6.424384723113e-11	2.489225528506e-13	2.517415010492e-08	1.689847505615e-08	5.303709730290e-09	5.224904548522e-10	4.604646125322e-12	2.130510406132e-08	1.318769282491e-08	2.756815989553e-09	6.143975307900e-11	1.752728012150e-08	8.860559095426e-09	5.936154729625e-10	1.335149736549e-08	3.589062406649e-09	6.379531047809e-09
